symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,pe,earningsAnnouncement,sharesOutstanding
ABCO,180139,,,,0.0,0.0,0.0,0.0,0.0,0.0,23.99,0.0,0.0,0.0,,,,2017-09-30T00:00:00.000+0000,0.0
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,1e-05,,,0.0,1e-05,1e-05,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,21.26,0.8061,0.17,0.0,21.26,21.64,0.0,1631197779.0,20.0246,,20.4592,0.0,0.0,,21.09,,,76726142.0
ABCW,66353,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,2015-12-31T00:00:00.000+0000,0.0
ABEO,Abeona Therapeutics Inc.,4.78,1.2712,0.06,4.63,4.833,5.4,2.19,118416374.0,4.2986,,3.69475,148582.0,147857.0,4.8,4.72,-3.49,2023-11-13T13:30:00.000+0000,24773300.0
ABGI,ABG Acquisition Corp. I,10.19,-0.2935,-0.03,10.17,10.19,10.42,9.75,196999184.0,10.1449,4.8,9.962194,2114.0,42875.0,10.18,10.22,1019.0,,19332599.0
ABHFX,"American Fds,  American Income Municipal Bond Fund Class F-1 Shs",14.86,1.1572,0.17,0.0,14.86,15.01,0.0,10217824595.0,14.1464,10.18,14.45585,0.0,0.0,,14.69,,,687605962.0
ABHIX,American Century High-Yield Bond Fund Investor Class,5.03,1.2072,0.06,0.0,5.03,5.05,0.0,88944564.0,4.8286,,4.86565,0.0,0.0,,4.9700003,,,17682816.0
ABHYX,American Century High-Yield Municipal Fund Investor Class,8.71,1.1614,0.1,0.0,8.71,8.98,0.0,610826046.0,8.2896,,8.5431,0.0,0.0,,8.61,,,70129282.0
ABINX,American Century Balanced Fund,17.9,0.6183,0.11,0.0,17.9,17.9,0.0,862811432.0,16.8078,,16.7681,0.0,0.0,,17.789999,,,48201756.0
ABIO,"ARCA biopharma, Inc.",1.79,0.5618,0.01,1.76,1.84,2.7,1.74,25794079.0,1.897,,2.0166,31988.0,21201.0,1.76,1.78,-4.84,2024-02-22T00:00:00.000+0000,14410100.0
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",25.3999,0.7933,0.1999,25.03,26.43,27.39,24.26,0.0,24.8525,1.76,24.8525,11819.0,3657.0,26.43,25.2,,,0.0
ABLOX,Alger Balanced Portfolio Class I-2,18.79,-1.4166,-0.27,0.0,18.79,19.06,0.0,50430669.0,18.1982,26.43,17.7388,0.0,0.0,,19.060001,11.96,,2683910.0
ABLV,Able View Inc.,3.06,-2.2364,-0.07,2.9,3.08,4.15,1.6,27437490.0,2.60508,,2.78569,32993.0,21733.0,2.9,3.13,17.0,,8966500.0
ABLVW,Able View Inc.,0.0559,12.0241,0.006,0.0559,0.056,0.056,0.0559,55900.0,0.0,2.9,0.0,2000.0,0.0,0.056,0.0499,,,1000001.0
ABMAX,American Beacon Mid-Cap Value Fund,11.47,1.2357,0.14,0.0,11.47,11.47,0.0,106052664.0,11.47,0.056,11.47,0.0,0.0,,11.33,,,9246091.0
ABMD,"Abiomed, Inc.",381.02,0.0,0.0,380.545,381.28,381.99,219.845,17180649405.0,351.417,,291.67477,15702662.0,1703123.0,380.78,381.02,65.35506003430531,2023-10-30T12:30:00.000+0000,45091201.0
ABNB,"Airbnb, Inc.",147.26,1.903,2.75,144.98,149.92,154.95,81.91,95608418785.0,125.9748,380.78,126.41332,8334188.0,6536601.0,145.0,144.51,17.91,2024-02-12T00:00:00.000+0000,649249075.0
ABOS,"Acumen Pharmaceuticals, Inc.",3.0,3.0928,0.09,2.89,3.07,11.31,1.81,173731500.0,2.8337,145,4.692925,602497.0,505949.0,2.94,2.91,-2.7,2023-11-13T00:00:00.000+0000,57910500.0
ABRTX,ABR DYNAMIC BLEND EQUITY & VOLATILITY FUND - INVESTOR SHARES,10.0,0.3009,0.03,0.0,10.0,10.23,0.0,102230060.0,9.472,2.94,9.63585,0.0,0.0,,9.97,,,10223006.0
ABSI,Absci Corporation,2.76,13.1148,0.32,2.45,2.83,3.63,1.111,256510260.0,1.5067,,1.65035,1343605.0,452817.0,2.45,2.44,-2.38,2023-11-14T21:05:00.000+0000,92938500.0
ABSIX,AB Discovery Value Fund Class I,21.13,2.7724,0.57,0.0,21.13,22.27,0.0,2483118067.0,19.6754,2.45,20.0368,0.0,0.0,,20.56,,,117516236.0
ABSKX,AB Discovery Value Fund Class K,21.03,2.7859,0.57,0.0,21.03,22.1,0.0,2626759216.0,19.485,,19.8524,0.0,0.0,,20.460001,,,124905336.0
ABSRX,AB Discovery Value Fund Class R,20.5,2.7569,0.55,0.0,20.5,21.62,0.0,2551574956.0,19.0178,,19.3976,0.0,0.0,,19.95,,,124467071.0
ABST,Absolute Software Corporation,11.49,-0.087,-0.01,11.49,11.5,12.59,7.39,610809526.0,11.3836,,10.1504,704052.0,1570934.0,11.49,11.5,-22.98,2023-08-21T00:00:00.000+0000,53160098.0
ABSYX,American Beacon Small Cap Value Fund Class Y,25.33,2.9675,0.73,0.0,25.33,26.07,0.0,4667482654.0,22.6012,11.49,22.77765,0.0,0.0,,24.6,,,184266982.0
ABSZX,AB Discovery Value Fund,21.08,2.7791,0.57,0.0,21.08,22.22,0.0,2626398833.0,19.6404,,19.9971,0.0,0.0,,20.51,,,124591975.0
ABTX,"Allegiance Bancshares, Inc.",41.63,-0.8573,-0.36,41.21,42.57,46.96,37.04,0.0,,,,1609047.0,,42.22,41.99,11.190860215053764,2022-10-26T04:00:00.000+0000,0.0
ABUS,Arbutus Biopharma Corporation,2.18,1.8692,0.04,2.125,2.215,3.15,1.69,365575100.0,1.8798,42.22,2.2962,664716.0,652912.0,2.15,2.14,-4.74,2024-02-29T00:00:00.000+0000,167695000.0
ABVC,"ABVC BioPharma, Inc.",1.29,17.2727,0.19,1.06,1.3,18.7,0.674,9329203.0,1.1883,2.15,3.85266,414328.0,2580934.0,1.1,1.1,-0.36,2023-11-15T14:00:00.000+0000,7231940.0
ABVX,Abivax SA American Depositary Shares,10.45,0.3842,0.04,10.225,10.63,11.6,7.995,657248570.0,10.020263,1.1,10.020263,132379.0,334652.0,10.45,10.41,-3.99,,62894600.0
ABYSX,AB Discovery Value Fund,22.1,2.7907,0.6,0.0,22.1,23.22,0.0,2483118076.0,20.5292,10.45,20.8984,0.0,0.0,,21.5,,,112358284.0
ACAB,Atlantic Coastal Acquisition Corp. II,10.68,-0.1869,-0.02,10.66,10.68,11.115,9.79,116793180.0,10.60046,,10.46849,96.0,11314.0,10.66,10.7,62.82,2023-03-31T00:00:00.000+0000,10935691.0
ACABU,Atlantic Coastal Acquisition Corp. II,10.53,-4.0984,-0.45,10.53,10.53,11.065,9.9,116793179.0,10.5516,10.66,10.48035,1.0,6.0,10.53,10.98,0.0,2023-03-31T00:00:00.000+0000,11091470.0
ACABW,Atlantic Coastal Acquisition Corp. II,0.0293,46.5,0.0093,0.0293,0.0293,0.0293,0.0293,319961.0,0.0,10.53,0.0,57959.0,0.0,0.0293,0.02,,2023-03-31T00:00:00.000+0000,10920156.0
ACAC,Acri Capital Acquisition Corporation,11.0,-0.1815,-0.02,11.0,11.0,11.13,9.88,59524289.0,10.95822,0.0293,10.77954,19000.0,4684.0,11.0,11.02,73.33,2023-03-31T00:00:00.000+0000,5411299.0
ACACU,Acri Capital Acquisition Corporation,10.98,-0.091,-0.01,10.98,10.99,14.0,9.4396,58018320.0,11.035204,11,10.974317,6.0,568.0,10.99,10.99,0.0,2023-03-31T00:00:00.000+0000,5284000.0
ACACW,Acri Capital Acquisition Corporation,0.079,0.0,0.0,0.077,0.079,0.079,0.077,91785197.0,0.0,10.99,0.0,200.0,0.0,0.077,0.079,,2023-03-31T00:00:00.000+0000,1161837941.0
ACAD,ACADIA Pharmaceuticals Inc.,28.06,-1.4401,-0.41,27.22,28.8,33.99,14.8,4606890800.0,22.6184,0.077,23.57235,2860914.0,1849380.0,27.24,28.47,-30.84,2024-02-26T00:00:00.000+0000,164180000.0
ACAH,Atlantic Coastal Acquisition Corp.,10.56,0.4757,0.05,10.4801,11.56,11.63,9.96,128384256.0,10.5703,27.24,10.35241,10678.0,5577.0,10.5,10.51,40.62,2023-03-31T00:00:00.000+0000,12157600.0
ACAHU,Atlantic Coastal Acquisition Corp.,10.52,0.0,0.0,10.52,10.52,11.8,9.173,127776372.0,10.7232,10.5,10.3954,500.0,520.0,10.52,10.52,-2104.0,2023-03-31T00:00:00.000+0000,12146043.0
ACAHW,Atlantic Coastal Acquisition Corp.,0.026,0.0,0.0,0.0,0.0261,0.0261,0.0,315031.0,0.0,10.52,0.0,19499.0,0.0,,0.026,,2023-03-31T00:00:00.000+0000,12116577.0
ACAX,Alset Capital Acquisition Corp.,10.8,1.8868,0.2,10.61,10.8,15.04,4.68,49745189.0,10.5872,,10.168425,2409.0,3068.0,10.61,10.6,108.0,2023-02-28T00:00:00.000+0000,4606036.0
ACAXR,Alset Capital Acquisition Corp.,0.18,28.5714,0.04,0.15,0.18,0.18,0.15,0.0,0.0,10.61,0.0,2249.0,0.0,0.15,0.14,0.0,2023-02-28T00:00:00.000+0000,0.0
ACAXU,Alset Capital Acquisition Corp.,9.5,-9.9526,-1.05,9.5,9.5,28.01,7.02,48823977.0,10.84,0.15,10.410975,2299.0,204.0,9.5,10.55,,2023-02-28T00:00:00.000+0000,5139366.0
ACAXW,Alset Capital Acquisition Corp.,0.015,-25.0,-0.005,0.015,0.015,0.015,0.015,69230.0,0.0,9.5,0.0,1000.0,0.0,0.015,0.02,,2023-02-28T00:00:00.000+0000,4615301.0
ACB,Aurora Cannabis Inc.,0.4893,1.9375,0.0093,0.48,0.505,1.205,0.41,212766233.0,0.47994,0.015,0.576835,9914213.0,11961447.0,0.4897,0.48,-0.08,2023-11-09T22:00:00.000+0000,434838000.0
ACBA,Ace Global Business Acquisition Limited,11.77,0.0,0.0,11.77,11.77,12.0,10.51,40384989.0,11.6646,0.4897,11.302865,115.0,2406.0,11.77,11.77,-33.63,2023-11-13T05:00:00.000+0000,3431180.0
ACBAU,Ace Global Business Acquisition Limited,12.035,3.3935,0.395,12.035,12.035,12.71,10.08,40316347.0,11.1692,11.77,10.84112,111.0,106.0,12.035,11.64,-57.86057692307692,2023-03-31T00:00:00.000+0000,3349925.0
ACBAW,Ace Global Business Acquisition Limited,0.0243,-28.5294,-0.0097,0.0243,0.0243,0.0243,0.0243,40384989.0,0.0,12.035,0.0,21930.0,0.0,0.0243,0.034,,2023-03-31T00:00:00.000+0000,1661933703.0
ACBI,"Atlantic Capital Bancshares, Inc.",32.34,-0.0927,-0.03,30.74,32.45,33.68,22.14,0.0,31.3322,0.0243,27.6257,81866.0,106420.0,31.75,32.37,0.0,2022-01-24T05:00:00.000+0000,0.0
ACCD,"Accolade, Inc.",10.82,6.0784,0.62,10.19,11.15,17.005,6.33,824832404.0,7.8473,31.75,11.6797,817574.0,628831.0,10.19,10.2,-5.79,2024-01-08T10:59:00.000+0000,76232200.0
ACCLX,American Century Mid Cap Value Fund,15.82,0.9572,0.15,0.0,15.82,16.21,0.0,8738515959.0,14.5962,10.19,14.98895,0.0,0.0,,15.67,,,552371426.0
ACCNX,American Century Core Plus Fd Investor Cl,9.31,0.8667,0.08,0.0,9.31,9.62,0.0,375847707.0,8.829,,9.1149,0.0,0.0,,9.2300005,,,40370323.0
ACDC,ProFrac Holding Corp.,8.65,5.3593,0.44,8.5,8.975,26.23,7.58,1378810000.0,8.7771,,11.403625,814569.0,651238.0,8.52,8.21,12.36,2023-11-09T16:00:00.000+0000,159400000.0
ACDCW,ProFrac Holding Corp.,0.0028,-6.6667,-0.0002,0.0017,0.0028,0.0028,0.0017,0.0,0.0,8.52,0.0,497209.0,0.0,0.002,0.003,0.0,2023-03-31T00:00:00.000+0000,0.0
ACDHX,AC Alternatives Disciplined Long Short Fund C Class,16.3,-0.0613,-0.01,0.0,16.3,16.3,0.0,50594809.0,16.3,0.002,16.3,0.0,0.0,,16.31,,,3103976.0
ACEIX,Invesco Equity and  Income Fund Class A,10.01,1.2133,0.12,0.0,10.01,10.38,0.0,11267989313.0,9.9096,,9.9242,0.0,0.0,,9.89,,,1125673258.0
ACER,Acer Therapeutics Inc.,0.6601,-17.949,-0.1444,0.6601,0.85,4.56,0.55,16148488.0,0.8198,,1.0079,574675.0,2387245.0,0.7968,0.8045,-0.342020725388601,2023-11-20T00:00:00.000+0000,24463700.0
ACET,"Adicet Bio, Inc.",1.65,8.5526,0.13,1.5,1.66,10.92,1.1,71221425.0,1.3065,0.7968,3.539125,930970.0,358990.0,1.52,1.52,-0.49,2023-11-08T21:10:00.000+0000,43164500.0
ACEV,ACE Convergence Acquisition Corp.,9.78,7.1194,0.65,8.9885,9.89,10.91,8.9,258126474.0,10.255776,1.52,10.140222,31566.0,39409.0,9.1,9.13,3.7906976744186047,2022-05-13T16:02:00.000+0000,26393300.0
ACEVU,ACE Convergence Acquisition Corp.,9.769,-0.1125,-0.011,9.27,9.769,10.8,9.27,0.0,10.24639,9.1,10.18421,858.0,1975.0,9.27,9.78,15.531001589825118,,0.0
ACEVW,ACE Convergence Acquisition Corp.,0.1699,13.2667,0.0199,0.085,0.1699,0.1699,0.085,0.0,0.0,9.27,0.0,132016.0,0.0,1.3,0.15,0.0,,0.0
ACEVX,American Century International Value Fund Investor Class,8.57,0.9423,0.08,0.0,8.57,8.57,0.0,1478507815.0,8.0582,1.3,8.00185,0.0,0.0,,8.49,,,172521332.0
ACFC,14122,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,2018-03-31T00:00:00.000+0000,0.0
ACFOX,"American Century Inv, Focused Dynamic Growth Fund - Investor Class",47.42,0.4661,0.22,0.0,47.42,47.77,0.0,1612022841.0,44.0802,,43.06495,0.0,0.0,,47.199997,,,33994577.0
ACGL,Arch Capital Group Ltd.,74.67,-4.7333,-3.71,74.005,77.98,90.65,59.96,27864753240.0,83.5348,,76.36335,3743080.0,1920857.0,77.98,78.38,9.63,2024-02-12T00:00:00.000+0000,373172000.0
ACGLN,Arch Capital Group Ltd.,19.83,2.61,0.5044,19.63,19.99,20.635,16.49,30449610526.0,18.26992,77.98,18.86913,26702.0,38396.0,19.63,19.3256,4.23,2023-03-31T00:00:00.000+0000,1535532553.0
ACGLO,Arch Capital Group Ltd.,22.98,2.3635,0.5306,22.7,23.11,24.43,19.2,27864753237.0,21.3388,19.63,22.21815,47311.0,39103.0,22.7,22.4494,4.9,2023-03-31T00:00:00.000+0000,1212565415.0
ACGLP,Arch Capital Group Ltd.,24.99,0.04,0.01,24.97,24.99,26.2271,24.97,15165357055.0,25.098997,22.7,25.362572,40244.0,29439.0,24.97,24.98,5.027157513578757,2020-10-29T00:00:00.000+0000,606857025.0
ACGN,"Aceragen, Inc.",0.3849,1.2895,0.0049,0.3849,0.3849,16.0,0.36,3240966.0,1.1646,24.97,3.52015,52509.0,92008.0,0.433,0.38,-0.04475581395348837,2023-09-06T00:00:00.000+0000,8420280.0
ACHC,"Acadia Healthcare Company, Inc.",77.58,-1.7477,-1.38,76.875,79.67,86.37,66.49,7154156070.0,73.5454,0.433,73.1619,748494.0,548823.0,79.0,78.96,-387.9,2024-02-26T00:00:00.000+0000,92216500.0
ACHL,Achilles Therapeutics plc,0.86,-10.7884,-0.104,0.8454,0.9136,1.37,0.74,35073294.0,0.8574,79,0.92712,782012.0,75019.0,0.86,0.964,-0.45,2024-03-05T13:30:00.000+0000,40782900.0
ACHV,"Achieve Life Sciences, Inc.",3.28,-1.2048,-0.04,3.21,3.39,10.3,2.36,69423824.0,4.5144,0.86,5.5064,167289.0,69461.0,3.26,3.32,-1.62,2023-11-09T00:00:00.000+0000,21165800.0
ACIC,American Coastal Insurance Corporation,8.835,0.5119,0.045,8.79,9.215,9.96,0.49,387837063.0,7.8568,3.26,5.69885,495706.0,515015.0,8.79,8.79,-1.04,2024-02-29T10:59:00.000+0000,43897800.0
ACINX,Columbia Acorn International Fund,24.9,2.5113,0.61,0.0,24.9,25.22,0.0,2191623425.0,22.572,8.79,23.44145,0.0,0.0,,24.289999,5.92,,88017005.0
ACITX,American Century Inflation Adjusted Bond Investor Class,10.77,1.2218,0.13,0.0,10.77,11.2,0.0,2741791027.0,10.3256,,10.55595,0.0,0.0,,10.64,,,254576697.0
ACIU,AC Immune SA,3.71,2.7701,0.1,3.57,3.77,3.86,1.68,310231684.0,2.9842,,2.6734,52016.0,53055.0,3.77,3.61,-3.99,2023-11-03T11:00:01.000+0000,83620400.0
ACIW,"ACI Worldwide, Inc.",29.64,1.368,0.4,29.49,30.43,30.43,19.56,3222549720.0,24.0412,3.77,24.0041,603792.0,982530.0,29.68,29.24,38.0,2024-02-28T00:00:00.000+0000,108723000.0
ACKIT,Ackrell SPAC Partners I Co.,10.3801,0.0973999,0.0101004,10.38,10.39,,,0.0,,29.68,,8435.0,,10.38,10.37,-324.378125,,0.0
ACKIU,Ackrell SPAC Partners I Co.,10.36,0.09661135,0.009999275,10.31,10.35,,,0.0,,10.38,,300.0,,10.31,10.35,-323.75,2022-08-16T04:00:00.000+0000,0.0
ACKIW,Ackrell SPAC Partners I Co.,0.0004,-96.428566,-0.0108,0.0004,0.0004,0.0004,0.0004,0.0,0.0,10.31,0.0,317451.0,0.0,0.67,0.0112,0.0,,0.0
ACLS,"Axcelis Technologies, Inc.",140.43,6.7909,8.93,134.21,141.57,201.0,75.73,4598731425.0,137.7286,0.67,150.94624,1083738.0,620479.0,134.75,131.5,20.09,2024-02-06T21:00:00.000+0000,32747500.0
ACLX,"Arcellx, Inc.",51.3,1.5439,0.78,48.555,52.06,59.085,26.32,2496959528.0,43.6932,134.75,37.313225,765513.0,708623.0,50.77,50.52,-19.36,2024-04-03T04:00:00.000+0000,48673675.0
ACMR,"ACM Research, Inc.",17.89,1.245,0.22,17.5501,18.49,21.07,6.91,1084273435.0,17.1806,50.77,13.75895,792205.0,1203974.0,17.97,17.67,16.56,2024-02-22T13:30:00.000+0000,60607794.0
ACMVX,American Century Mid Cap Value Fund,16.18,0.9988,0.16,0.0,16.18,16.55,0.0,9046013325.0,14.909,17.97,15.30735,0.0,0.0,,16.02,,,559086114.0
ACMYX,American Beacon Mid-Cap Value Fund,11.68,1.2132,0.14,0.0,11.68,11.68,0.0,106052660.0,11.68,,11.68,0.0,0.0,,11.54,,,9079851.0
ACNB,ACNB Corporation,45.04,8.2432,3.43,41.94,45.34,45.34,27.0,383187258.0,36.0624,,33.24925,42753.0,11931.0,42.0,41.61,10.17,2024-01-24T14:07:00.000+0000,8507710.0
ACNT,Ascent Industries Co.,7.55,0.5326,0.04,7.41,7.65,11.56,7.27,76447525.0,8.2148,42,8.96585,16910.0,8147.0,7.41,7.51,-3.77,2023-11-08T00:00:00.000+0000,10125500.0
ACON,"Aclarion, Inc.",0.22,-6.1033,-0.0143,0.2101,0.2479,2.37,0.21,1934461.0,0.34776,7.41,0.6024,37143.0,189007.0,0.2443,0.2343,-0.38,2023-11-24T05:00:00.000+0000,8793006.0
ACONW,"Aclarion, Inc.",0.0251,5.0209,0.0012,0.0251,0.025101,0.025101,0.0251,218146.0,0.0,0.2443,0.0,199.0,0.0,0.025101,0.0239,0.0,2022-12-31T00:00:00.000+0000,8691072.0
ACOR,"Acorda Therapeutics, Inc.",13.6,1.6442,0.22,13.5401,14.49,24.2,9.0,16892560.0,10.4428,0.025101,12.77775,9170.0,6306.0,14.0,13.38,5.21,2024-03-07T13:30:00.000+0000,1242100.0
ACQR,Independence Holdings Corp.,10.19,-0.147,-0.015,10.19,10.19,10.825,9.75,631663803.0,10.168448,14,9.97947,100.0,522498.0,10.19,10.205,32.87096774193548,,61988597.0
ACQRU,Independence Holdings Corp.,10.19,0.0,0.0,10.18,10.19,10.4,9.75,606006943.0,10.15748,10.19,9.983773,69.0,1283.0,10.18,10.19,78.38461538461539,,59470750.0
